영역,유형,표준점수,남자,여자
국어,국어,144,93,58
국어,국어,142,256,181
국어,국어,141,161,147
국어,국어,140,395,242
국어,국어,139,583,422
국어,국어,138,539,398
국어,국어,137,1013,843
국어,국어,136,851,720
국어,국어,134,1413,1081
국어,국어,133,1381,1165
국어,국어,132,1633,1344
국어,국어,131,1927,1621
국어,국어,130,1902,1710
국어,국어,129,2371,2186
국어,국어,128,2344,2092
국어,국어,127,2784,2546
국어,국어,126,2653,2563
국어,국어,125,3017,2872
국어,국어,124,3146,2942
국어,국어,123,3253,3061
국어,국어,122,3558,3508
국어,국어,120,3405,3288
국어,국어,119,3720,3646
국어,국어,118,3606,3735
국어,국어,117,3839,3928
국어,국어,116,3880,4001
국어,국어,115,3995,4052
국어,국어,114,3931,4096
국어,국어,113,4022,4155
국어,국어,112,4014,4166
국어,국어,111,3964,4233
국어,국어,110,4034,4259
국어,국어,109,3982,4176
국어,국어,108,4129,4242
국어,국어,106,3986,4145
국어,국어,105,4203,4264
국어,국어,104,4085,4204
국어,국어,103,4080,4178
국어,국어,102,3830,4158
국어,국어,101,3918,4097
국어,국어,100,3850,4106
국어,국어,99,3829,4050
국어,국어,98,3859,3879
국어,국어,97,3763,3832
국어,국어,96,3537,3883
국어,국어,95,3609,3814
국어,국어,94,3502,3559
국어,국어,92,3406,3588
국어,국어,91,3401,3384
국어,국어,90,3357,3375
국어,국어,89,3252,3257
국어,국어,88,3217,3258
국어,국어,87,3074,2987
국어,국어,86,2996,2951
국어,국어,85,2926,2861
국어,국어,84,2915,2682
국어,국어,83,2824,2704
국어,국어,82,2805,2603
국어,국어,81,2594,2402
국어,국어,80,2491,2371
국어,국어,78,2484,2274
국어,국어,77,2414,2091
국어,국어,76,2285,1923
국어,국어,75,2203,1960
국어,국어,74,2078,1789
국어,국어,73,2103,1679
국어,국어,72,1999,1600
국어,국어,71,2029,1450
국어,국어,70,1852,1337
국어,국어,69,1851,1296
국어,국어,68,1783,1221
국어,국어,67,1588,1163
국어,국어,66,1649,1129
국어,국어,64,2102,1226
국어,국어,63,1521,945
국어,국어,62,1351,757
국어,국어,61,1345,834
국어,국어,60,1205,658
국어,국어,59,1118,587
국어,국어,58,824,516
국어,국어,57,1763,690
국어,국어,56,849,463
국어,국어,55,566,286
국어,국어,54,474,256
국어,국어,53,556,293
국어,국어,52,319,162
국어,국어,50,219,110
국어,국어,49,193,87
국어,국어,48,130,62
국어,국어,47,114,50
국어,국어,46,50,35
국어,국어,45,64,36
국어,국어,44,26,25
국어,국어,43,28,18
국어,국어,42,12,8
국어,국어,41,11,10
국어,국어,40,5,6
국어,국어,39,13,10
국어,국어,36,135,58
수학,수학 가형,137,790,181
수학,수학 가형,135,16,8
수학,수학 가형,134,124,35
수학,수학 가형,133,1476,435
수학,수학 가형,132,5,0
수학,수학 가형,131,389,120
수학,수학 가형,130,2568,919
수학,수학 가형,129,15,3
수학,수학 가형,128,152,51
수학,수학 가형,127,629,190
수학,수학 가형,126,3199,1288
수학,수학 가형,125,29,8
수학,수학 가형,124,1397,497
수학,수학 가형,123,3822,1626
수학,수학 가형,122,74,27
수학,수학 가형,121,412,161
수학,수학 가형,120,1559,634
수학,수학 가형,119,3566,1803
수학,수학 가형,118,825,329
수학,수학 가형,117,2094,907
수학,수학 가형,116,3313,1674
수학,수학 가형,115,279,93
수학,수학 가형,114,884,425
수학,수학 가형,113,2471,1223
수학,수학 가형,112,3023,1688
수학,수학 가형,111,1371,687
수학,수학 가형,110,2539,1385
수학,수학 가형,109,1744,1083
수학,수학 가형,108,706,333
수학,수학 가형,107,1756,949
수학,수학 가형,106,3412,2002
수학,수학 가형,105,938,547
수학,수학 가형,104,1829,1001
수학,수학 가형,103,1726,1008
수학,수학 가형,102,888,546
수학,수학 가형,101,1337,727
수학,수학 가형,100,1694,1027
수학,수학 가형,99,2127,1245
수학,수학 가형,98,1339,855
수학,수학 가형,97,1273,738
수학,수학 가형,96,861,546
수학,수학 가형,95,1035,600
수학,수학 가형,94,1217,775
수학,수학 가형,93,1720,1073
수학,수학 가형,92,1027,658
수학,수학 가형,91,933,575
수학,수학 가형,90,796,470
수학,수학 가형,89,879,538
수학,수학 가형,88,858,541
수학,수학 가형,87,1492,951
수학,수학 가형,86,842,475
수학,수학 가형,85,766,448
수학,수학 가형,84,675,403
수학,수학 가형,83,738,479
수학,수학 가형,82,695,452
수학,수학 가형,81,660,402
수학,수학 가형,80,1413,890
수학,수학 가형,79,648,410
수학,수학 가형,78,637,342
수학,수학 가형,77,640,419
수학,수학 가형,76,617,394
수학,수학 가형,75,607,418
수학,수학 가형,74,1288,794
수학,수학 가형,73,563,352
수학,수학 가형,72,711,396
수학,수학 가형,71,629,431
수학,수학 가형,70,643,374
수학,수학 가형,69,697,420
수학,수학 가형,68,1338,721
수학,수학 가형,67,780,429
수학,수학 가형,66,636,332
수학,수학 가형,65,1248,567
수학,수학 가형,64,553,334
수학,수학 가형,63,714,370
수학,수학 가형,62,1049,525
수학,수학 가형,61,411,224
수학,수학 가형,60,499,230
수학,수학 가형,59,329,142
수학,수학 가형,58,619,314
수학,수학 가형,57,301,157
수학,수학 가형,56,160,79
수학,수학 가형,55,268,151
수학,수학 가형,54,59,33
수학,수학 가형,53,77,27
수학,수학 가형,52,45,9
수학,수학 가형,50,105,33
수학,수학 나형,137,929,498
수학,수학 나형,135,25,27
수학,수학 나형,134,1930,1448
수학,수학 나형,133,21,15
수학,수학 나형,132,123,88
수학,수학 나형,131,4419,4371
수학,수학 나형,130,74,63
수학,수학 나형,129,383,376
수학,수학 나형,128,6502,7150
수학,수학 나형,127,183,152
수학,수학 나형,126,1049,1030
수학,수학 나형,125,6342,7580
수학,수학 나형,124,314,261
수학,수학 나형,123,1648,1702
수학,수학 나형,122,4566,5670
수학,수학 나형,121,433,391
수학,수학 나형,120,1960,2379
수학,수학 나형,119,3002,3763
수학,수학 나형,118,700,746
수학,수학 나형,117,2091,2527
수학,수학 나형,116,1995,2552
수학,수학 나형,115,1067,1163
수학,수학 나형,114,1904,2365
수학,수학 나형,113,1483,1823
수학,수학 나형,112,1426,1539
수학,수학 나형,111,2165,2680
수학,수학 나형,110,793,902
수학,수학 나형,109,1422,1726
수학,수학 나형,108,1626,2046
수학,수학 나형,107,1124,1273
수학,수학 나형,106,1278,1586
수학,수학 나형,105,1571,1819
수학,수학 나형,104,1305,1594
수학,수학 나형,103,898,1204
수학,수학 나형,102,1804,2132
수학,수학 나형,101,1125,1448
수학,수학 나형,100,1711,2107
수학,수학 나형,99,1256,1610
수학,수학 나형,98,854,1152
수학,수학 나형,97,2075,2616
수학,수학 나형,96,1100,1490
수학,수학 나형,95,820,1153
수학,수학 나형,94,2347,2928
수학,수학 나형,93,945,1279
수학,수학 나형,92,1041,1298
수학,수학 나형,91,2430,3114
수학,수학 나형,90,1052,1286
수학,수학 나형,89,2456,3381
수학,수학 나형,88,1059,1421
수학,수학 나형,87,1270,1656
수학,수학 나형,86,2433,3396
수학,수학 나형,85,1393,1822
수학,수학 나형,84,1403,1809
수학,수학 나형,83,2833,3861
수학,수학 나형,82,1406,1935
수학,수학 나형,81,1532,2137
수학,수학 나형,80,3288,4381
수학,수학 나형,79,1890,2624
수학,수학 나형,78,3717,4830
수학,수학 나형,77,4596,4870
수학,수학 나형,76,1931,2499
수학,수학 나형,75,4173,5246
수학,수학 나형,74,2460,3170
수학,수학 나형,73,1345,1652
수학,수학 나형,72,2175,2591
수학,수학 나형,71,1115,1294
수학,수학 나형,70,1073,1239
수학,수학 나형,69,905,1159
수학,수학 나형,68,407,543
수학,수학 나형,67,404,481
수학,수학 나형,66,130,156
수학,수학 나형,65,90,118
수학,수학 나형,64,166,129
사회탐구,생활과 윤리,65,1948,3496
사회탐구,생활과 윤리,64,2089,4140
사회탐구,생활과 윤리,63,1635,2832
사회탐구,생활과 윤리,62,530,1073
사회탐구,생활과 윤리,61,3519,7022
사회탐구,생활과 윤리,60,1051,2246
사회탐구,생활과 윤리,59,1946,3819
사회탐구,생활과 윤리,58,546,1042
사회탐구,생활과 윤리,57,2473,4949
사회탐구,생활과 윤리,56,571,1088
사회탐구,생활과 윤리,55,1158,2215
사회탐구,생활과 윤리,54,1492,2963
사회탐구,생활과 윤리,53,1028,1962
사회탐구,생활과 윤리,52,748,1357
사회탐구,생활과 윤리,51,746,1481
사회탐구,생활과 윤리,50,1698,3163
사회탐구,생활과 윤리,49,940,1750
사회탐구,생활과 윤리,48,942,1708
사회탐구,생활과 윤리,47,1970,3563
사회탐구,생활과 윤리,46,1067,1704
사회탐구,생활과 윤리,45,1096,1990
사회탐구,생활과 윤리,44,1083,2013
사회탐구,생활과 윤리,43,2266,3797
사회탐구,생활과 윤리,42,1129,1898
사회탐구,생활과 윤리,41,1212,1945
사회탐구,생활과 윤리,40,2214,3733
사회탐구,생활과 윤리,39,1198,1787
사회탐구,생활과 윤리,38,1088,1572
사회탐구,생활과 윤리,37,1962,2041
사회탐구,생활과 윤리,36,1973,2675
사회탐구,생활과 윤리,35,782,958
사회탐구,생활과 윤리,34,1245,1237
사회탐구,생활과 윤리,33,1179,1379
사회탐구,생활과 윤리,32,408,420
사회탐구,생활과 윤리,31,258,251
사회탐구,생활과 윤리,30,301,245
사회탐구,생활과 윤리,29,301,289
사회탐구,생활과 윤리,28,107,94
사회탐구,생활과 윤리,26,66,75
사회탐구,윤리와 사상,64,609,1069
사회탐구,윤리와 사상,63,505,988
사회탐구,윤리와 사상,62,519,978
사회탐구,윤리와 사상,61,623,1309
사회탐구,윤리와 사상,60,299,564
사회탐구,윤리와 사상,59,158,410
사회탐구,윤리와 사상,58,516,1110
사회탐구,윤리와 사상,57,171,504
사회탐구,윤리와 사상,56,254,538
사회탐구,윤리와 사상,55,293,661
사회탐구,윤리와 사상,54,164,358
사회탐구,윤리와 사상,53,257,665
사회탐구,윤리와 사상,52,133,312
사회탐구,윤리와 사상,51,122,291
사회탐구,윤리와 사상,50,300,653
사회탐구,윤리와 사상,49,163,365
사회탐구,윤리와 사상,48,321,673
사회탐구,윤리와 사상,47,185,355
사회탐구,윤리와 사상,46,185,309
사회탐구,윤리와 사상,45,429,726
사회탐구,윤리와 사상,44,196,354
사회탐구,윤리와 사상,43,217,386
사회탐구,윤리와 사상,42,482,766
사회탐구,윤리와 사상,41,253,395
사회탐구,윤리와 사상,40,523,722
사회탐구,윤리와 사상,39,320,359
사회탐구,윤리와 사상,38,275,344
사회탐구,윤리와 사상,37,855,820
사회탐구,윤리와 사상,36,234,252
사회탐구,윤리와 사상,35,251,216
사회탐구,윤리와 사상,34,481,461
사회탐구,윤리와 사상,33,147,99
사회탐구,윤리와 사상,32,205,190
사회탐구,윤리와 사상,31,54,32
사회탐구,윤리와 사상,30,24,25
사회탐구,윤리와 사상,29,26,28
사회탐구,윤리와 사상,28,12,15
사회탐구,한국지리,63,2189,1824
사회탐구,한국지리,61,2681,2778
사회탐구,한국지리,60,432,429
사회탐구,한국지리,59,1701,1988
사회탐구,한국지리,58,615,735
사회탐구,한국지리,57,642,767
사회탐구,한국지리,56,794,931
사회탐구,한국지리,55,345,427
사회탐구,한국지리,54,297,369
사회탐구,한국지리,53,641,779
사회탐구,한국지리,52,319,382
사회탐구,한국지리,51,574,695
사회탐구,한국지리,50,372,447
사회탐구,한국지리,49,285,364
사회탐구,한국지리,48,662,831
사회탐구,한국지리,47,289,366
사회탐구,한국지리,46,367,506
사회탐구,한국지리,45,753,901
사회탐구,한국지리,44,421,552
사회탐구,한국지리,43,800,1016
사회탐구,한국지리,42,445,520
사회탐구,한국지리,41,404,484
사회탐구,한국지리,40,883,1036
사회탐구,한국지리,39,425,493
사회탐구,한국지리,38,424,449
사회탐구,한국지리,37,833,931
사회탐구,한국지리,36,416,408
사회탐구,한국지리,35,925,740
사회탐구,한국지리,34,349,274
사회탐구,한국지리,33,529,349
사회탐구,한국지리,32,317,267
사회탐구,한국지리,31,104,84
사회탐구,한국지리,30,137,84
사회탐구,한국지리,29,82,60
사회탐구,한국지리,28,45,23
사회탐구,한국지리,27,30,16
사회탐구,세계지리,63,2690,2109
사회탐구,세계지리,62,1105,1162
사회탐구,세계지리,61,523,452
사회탐구,세계지리,60,439,511
사회탐구,세계지리,59,842,892
사회탐구,세계지리,58,453,507
사회탐구,세계지리,57,557,668
사회탐구,세계지리,56,338,356
사회탐구,세계지리,55,554,665
사회탐구,세계지리,54,236,262
사회탐구,세계지리,53,444,541
사회탐구,세계지리,52,237,275
사회탐구,세계지리,51,443,533
사회탐구,세계지리,50,231,272
사회탐구,세계지리,49,461,540
사회탐구,세계지리,48,238,273
사회탐구,세계지리,47,483,566
사회탐구,세계지리,46,262,284
사회탐구,세계지리,45,560,633
사회탐구,세계지리,44,281,302
사회탐구,세계지리,43,668,737
사회탐구,세계지리,42,319,347
사회탐구,세계지리,41,735,800
사회탐구,세계지리,40,369,399
사회탐구,세계지리,39,758,878
사회탐구,세계지리,38,381,418
사회탐구,세계지리,37,1128,933
사회탐구,세계지리,36,355,361
사회탐구,세계지리,35,585,530
사회탐구,세계지리,34,207,200
사회탐구,세계지리,33,106,157
사회탐구,세계지리,32,192,198
사회탐구,세계지리,31,53,63
사회탐구,세계지리,30,41,48
사회탐구,세계지리,29,25,15
사회탐구,동아시아사,67,599,319
사회탐구,동아시아사,66,120,96
사회탐구,동아시아사,65,809,645
사회탐구,동아시아사,64,358,346
사회탐구,동아시아사,63,528,324
사회탐구,동아시아사,62,106,113
사회탐구,동아시아사,61,653,520
사회탐구,동아시아사,60,210,209
사회탐구,동아시아사,59,465,411
사회탐구,동아시아사,58,250,281
사회탐구,동아시아사,57,227,195
사회탐구,동아시아사,56,387,377
사회탐구,동아시아사,55,154,148
사회탐구,동아시아사,54,201,204
사회탐구,동아시아사,53,380,287
사회탐구,동아시아사,52,201,235
사회탐구,동아시아사,51,187,177
사회탐구,동아시아사,50,413,402
사회탐구,동아시아사,49,189,198
사회탐구,동아시아사,48,499,480
사회탐구,동아시아사,47,261,261
사회탐구,동아시아사,46,277,339
사회탐구,동아시아사,45,619,583
사회탐구,동아시아사,44,334,389
사회탐구,동아시아사,43,373,357
사회탐구,동아시아사,42,719,833
사회탐구,동아시아사,41,465,496
사회탐구,동아시아사,40,718,783
사회탐구,동아시아사,39,339,368
사회탐구,동아시아사,38,289,309
사회탐구,동아시아사,37,465,524
사회탐구,동아시아사,36,208,202
사회탐구,동아시아사,35,259,179
사회탐구,동아시아사,34,215,192
사회탐구,동아시아사,33,22,29
사회탐구,동아시아사,32,45,45
사회탐구,동아시아사,31,14,9
사회탐구,세계사,67,854,346
사회탐구,세계사,65,725,429
사회탐구,세계사,64,104,102
사회탐구,세계사,63,539,323
사회탐구,세계사,62,193,128
사회탐구,세계사,61,388,282
사회탐구,세계사,60,242,159
사회탐구,세계사,59,314,239
사회탐구,세계사,58,186,162
사회탐구,세계사,57,147,97
사회탐구,세계사,56,301,250
사회탐구,세계사,55,128,108
사회탐구,세계사,54,293,216
사회탐구,세계사,53,128,108
사회탐구,세계사,52,260,199
사회탐구,세계사,51,144,127
사회탐구,세계사,50,143,97
사회탐구,세계사,49,296,243
사회탐구,세계사,48,158,139
사회탐구,세계사,47,374,321
사회탐구,세계사,46,253,203
사회탐구,세계사,45,532,410
사회탐구,세계사,44,320,244
사회탐구,세계사,43,742,590
사회탐구,세계사,42,375,321
사회탐구,세계사,41,395,344
사회탐구,세계사,40,779,664
사회탐구,세계사,39,362,365
사회탐구,세계사,38,656,489
사회탐구,세계사,37,195,202
사회탐구,세계사,36,212,227
사회탐구,세계사,35,22,15
사회탐구,세계사,34,65,69
사회탐구,세계사,32,5,7
사회탐구,경제,69,59,11
사회탐구,경제,67,140,28
사회탐구,경제,66,15,6
사회탐구,경제,65,130,19
사회탐구,경제,64,71,15
사회탐구,경제,63,202,51
사회탐구,경제,62,62,21
사회탐구,경제,61,86,41
사회탐구,경제,60,123,58
사회탐구,경제,59,163,70
사회탐구,경제,58,91,39
사회탐구,경제,57,69,26
사회탐구,경제,56,163,69
사회탐구,경제,55,75,40
사회탐구,경제,54,73,47
사회탐구,경제,53,44,33
사회탐구,경제,52,123,64
사회탐구,경제,51,66,31
사회탐구,경제,50,65,32
사회탐구,경제,49,68,31
사회탐구,경제,48,136,82
사회탐구,경제,47,63,28
사회탐구,경제,46,63,30
사회탐구,경제,45,74,38
사회탐구,경제,44,160,67
사회탐구,경제,43,85,43
사회탐구,경제,42,111,43
사회탐구,경제,41,190,91
사회탐구,경제,40,99,48
사회탐구,경제,39,152,68
사회탐구,경제,38,177,80
사회탐구,경제,37,173,68
사회탐구,경제,36,55,28
사회탐구,경제,35,55,25
사회탐구,경제,34,22,18
사회탐구,경제,33,38,17
사회탐구,경제,32,7,6
사회탐구,경제,31,6,3
사회탐구,경제,29,5,2
사회탐구,정치와 법,69,118,104
사회탐구,정치와 법,67,259,236
사회탐구,정치와 법,66,111,121
사회탐구,정치와 법,65,502,547
사회탐구,정치와 법,64,118,162
사회탐구,정치와 법,63,338,432
사회탐구,정치와 법,62,247,319
사회탐구,정치와 법,61,545,789
사회탐구,정치와 법,60,160,279
사회탐구,정치와 법,59,287,406
사회탐구,정치와 법,58,431,645
사회탐구,정치와 법,57,239,374
사회탐구,정치와 법,56,172,273
사회탐구,정치와 법,55,193,352
사회탐구,정치와 법,54,349,530
사회탐구,정치와 법,53,204,291
사회탐구,정치와 법,52,148,230
사회탐구,정치와 법,51,192,321
사회탐구,정치와 법,50,296,534
사회탐구,정치와 법,49,169,273
사회탐구,정치와 법,48,172,261
사회탐구,정치와 법,47,361,683
사회탐구,정치와 법,46,196,327
사회탐구,정치와 법,45,188,335
사회탐구,정치와 법,44,219,314
사회탐구,정치와 법,43,453,707
사회탐구,정치와 법,42,243,379
사회탐구,정치와 법,41,274,407
사회탐구,정치와 법,40,245,374
사회탐구,정치와 법,39,924,953
사회탐구,정치와 법,38,228,283
사회탐구,정치와 법,37,273,336
사회탐구,정치와 법,36,177,210
사회탐구,정치와 법,35,419,474
사회탐구,정치와 법,34,79,90
사회탐구,정치와 법,33,107,124
사회탐구,정치와 법,32,88,75
사회탐구,정치와 법,31,52,30
사회탐구,정치와 법,29,17,9
사회탐구,사회·문화,71,312,247
사회탐구,사회·문화,69,175,151
사회탐구,사회·문화,68,750,942
사회탐구,사회·문화,67,70,53
사회탐구,사회·문화,66,928,1046
사회탐구,사회·문화,65,981,1566
사회탐구,사회·문화,64,459,596
사회탐구,사회·문화,63,1668,2503
사회탐구,사회·문화,62,925,1686
사회탐구,사회·문화,61,1361,1999
사회탐구,사회·문화,60,2745,5085
사회탐구,사회·문화,59,1921,3273
사회탐구,사회·문화,58,1360,2605
사회탐구,사회·문화,57,1420,2384
사회탐구,사회·문화,56,1675,3429
사회탐구,사회·문화,55,1169,2100
